Customer ID,Age Group,Age,Gender,Item Purchased,Category,Purchase Amount(PKR),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
24,Adult,31,Male,Pants,Clothing,6160,Sialkot,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
25,Young Adult,18,Male,Jacket,Outerwear,1540,Gujranwala,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,Young Adult,18,Male,Hoodie,Clothing,1750,Murree,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
27,Middl- Aged,38,Male,Jewelry,Accessories,1400,Quetta,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,Middl- Aged,56,Male,Shorts,Clothing,3920,Faisalabad,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,Middl- Aged,54,Male,Handbag,Accessories,6580,Peshawar,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,Adult,31,Male,Dress,Clothing,3360,Islamabad,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,Middl- Aged,57,Male,Jewelry,Accessories,2170,Peshawar,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,Adult,33,Male,Dress,Clothing,5530,Lahore,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,Middl- Aged,36,Male,Jacket,Outerwear,4690,Lahore,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
34,Middl- Aged,54,Male,Pants,Clothing,2660,Lahore,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,Middl- Aged,36,Male,T-shirt,Clothing,6370,Karachi,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,Middl- Aged,54,Male,Blouse,Clothing,2310,Muzafarabad,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,Middl- Aged,35,Male,T-shirt,Clothing,4830,Karachi,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,Middl- Aged,35,Male,Jeans,Clothing,3150,Karachi,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,Adult,29,Male,Dress,Clothing,2590,Gujranwala,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,Senior,70,Male,Pants,Clothing,4200,Islamabad,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,Senior,69,Male,Handbag,Accessories,5320,Faisalabad,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,Senior,67,Male,Scarf,Accessories,2730,Islamabad,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
43,Young Adult,20,Male,Coat,Outerwear,7000,Islamabad,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
44,Adult,25,Male,Scarf,Accessories,4830,Islamabad,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,Middl- Aged,39,Male,Hat,Accessories,3710,Faisalabad,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,Middl- Aged,50,Male,Socks,Clothing,1470,Islamabad,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,Middl- Aged,57,Male,Shirt,Clothing,3010,Lahore,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,Middl- Aged,55,Male,Jewelry,Accessories,3780,Mianwali,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,Middl- Aged,42,Male,Shirt,Clothing,3850,Quetta,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,Senior,68,Male,Hoodie,Clothing,2100,Gilgit,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,Middl- Aged,49,Male,Blouse,Clothing,1960,Islamabad,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,Senior,59,Male,Skirt,Clothing,4130,Lahore,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,Middl- Aged,42,Male,T-shirt,Clothing,1400,Islamabad,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,Adult,29,Male,Skirt,Clothing,1680,Kharian,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,Middl- Aged,47,Male,Coat,Outerwear,6580,Sialkot,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,Middl- Aged,40,Male,Jacket,Outerwear,1960,Karachi,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,Middl- Aged,41,Male,Backpack,Accessories,5110,Kharian,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,Young Adult,21,Male,Coat,Outerwear,4480,Lahore,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,Senior,69,Male,Hoodie,Clothing,3780,Mirpur,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,Senior,63,Male,Belt,Accessories,5530,Faisalabad,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,Middl- Aged,50,Male,Sweater,Clothing,2590,Lahore,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,Middl- Aged,55,Male,Scarf,Accessories,4760,Murree,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,Adult,30,Male,Sneakers,Footwear,1470,Kharian,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,Adult,33,Male,Sunglasses,Accessories,5530,Islamabad,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,Senior,65,Male,Boots,Footwear,5810,Multan,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,Senior,65,Male,Backpack,Accessories,2520,Gilgit,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,Adult,31,Male,Blouse,Clothing,6580,Faisalabad,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,Middl- Aged,45,Male,Coat,Outerwear,2310,Lahore,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,Middl- Aged,57,Male,Handbag,Accessories,3220,Karachi,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,Middl- Aged,48,Male,Belt,Accessories,4900,Islamabad,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,Young Adult,22,Male,Belt,Accessories,2030,Multan,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,Middl- Aged,36,Male,Dress,Clothing,3360,Rawalpindi,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
73,Young Adult,18,Male,Dress,Clothing,1820,Rawalpindi,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,Middl- Aged,48,Male,Pants,Clothing,5950,Gujrat,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,Middl- Aged,49,Male,Gloves,Accessories,4060,Karachi,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,Senior,64,Male,Scarf,Accessories,5950,Karachi,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,Middl- Aged,50,Male,Hat,Accessories,3010,Multan,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,Young Adult,22,Male,Dress,Clothing,3710,Multan,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,Middl- Aged,50,Male,Skirt,Clothing,6370,Karachi,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,Middl- Aged,38,Male,Jacket,Outerwear,6720,Rawalpindi,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,Young Adult,19,Male,Sandals,Footwear,5040,Karachi,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,Senior,67,Male,Shoes,Footwear,6720,Rawalpindi,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,Young Adult,19,Male,Pants,Clothing,1960,Rawalpindi,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,Middl- Aged,36,Male,Dress,Clothing,2800,Murree,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,Middl- Aged,52,Male,Coat,Outerwear,2240,Islamabad,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,Middl- Aged,53,Male,Sunglasses,Accessories,6650,Sialkot,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,Young Adult,24,Male,Hoodie,Clothing,2870,Quetta,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,Middl- Aged,52,Male,Shoes,Footwear,3710,Islamabad,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,Adult,33,Male,T-shirt,Clothing,3290,Islamabad,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,Middl- Aged,47,Male,Jacket,Outerwear,5810,Lahore,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,Adult,25,Male,Hat,Accessories,3360,Karachi,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,Middl- Aged,44,Male,Scarf,Accessories,6930,Karachi,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,Senior,61,Male,Jacket,Outerwear,6090,Murree,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,Middl- Aged,37,Male,Sweater,Clothing,4340,Gujranwala,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,Middl- Aged,58,Male,Skirt,Clothing,5320,Quetta,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,Middl- Aged,37,Male,Sneakers,Footwear,7000,Mirpur,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,Adult,32,Male,Gloves,Accessories,5110,Multan,S,Gold,Spring,,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
98,Young Adult,21,Male,Shoes,Footwear,6440,Rawalpindi,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,Young Adult,20,Male,Jeans,Clothing,4690,Karachi,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,Adult,26,Male,Hoodie,Clothing,2800,Mirpur,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,Senior,62,Male,Sunglasses,Accessories,6860,Multan,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,Adult,27,Male,Coat,Outerwear,5950,Karachi,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,Middl- Aged,51,Male,Socks,Clothing,4690,Sialkot,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,Middl- Aged,54,Male,Boots,Footwear,6230,Lahore,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,Middl- Aged,55,Male,Sunglasses,Accessories,1680,Peshawar,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,Senior,69,Male,Backpack,Accessories,6720,Karachi,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,Senior,64,Male,Jacket,Outerwear,2450,Gilgit,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,Adult,28,Male,Sneakers,Footwear,4690,Islamabad,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,Senior,70,Male,Socks,Clothing,5530,Mianwali,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,Middl- Aged,58,Male,T-shirt,Clothing,5950,Multan,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,Middl- Aged,56,Male,Backpack,Accessories,1820,Karachi,M,Black,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
112,Adult,26,Male,Belt,Accessories,5250,Muzafarabad,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,Middl- Aged,37,Male,Gloves,Accessories,4550,Gujranwala,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,Middl- Aged,44,Male,Hat,Accessories,3780,Gilgit,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,Senior,70,Male,Coat,Outerwear,6650,Muzafarabad,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,Middl- Aged,53,Male,Skirt,Clothing,6580,Islamabad,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,Middl- Aged,55,Male,Shoes,Footwear,6020,Rawalpindi,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
118,Middl- Aged,50,Male,Sandals,Footwear,2240,Multan,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,Middl- Aged,50,Male,Sweater,Clothing,3150,Faisalabad,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,Middl- Aged,38,Male,Coat,Outerwear,5320,Islamabad,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,Senior,64,Male,Hat,Accessories,5880,Lahore,L,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
122,Young Adult,19,Male,Shorts,Clothing,5040,Rawalpindi,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,Middl- Aged,40,Male,Backpack,Accessories,2800,Sargodha,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,Middl- Aged,57,Male,Sweater,Clothing,6230,Faisalabad,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,Middl- Aged,44,Male,Sweater,Clothing,6020,Quetta,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
126,Middl- Aged,49,Male,Shorts,Clothing,3780,Lahore,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,Middl- Aged,43,Male,Shorts,Clothing,2520,Kharian,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,Young Adult,24,Male,Sweater,Clothing,6230,Kharian,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,Young Adult,20,Male,Scarf,Accessories,2240,Lahore,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,Young Adult,24,Male,Dress,Clothing,4690,Faisalabad,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,Middl- Aged,44,Male,Scarf,Accessories,2730,Faisalabad,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,Adult,28,Male,Skirt,Clothing,2030,AJK,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,Adult,30,Male,Backpack,Accessories,4060,Sialkot,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,Middl- Aged,52,Male,Sweater,Clothing,4550,Mianwali,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
135,Middl- Aged,43,Male,Hat,Accessories,6580,Murree,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,Middl- Aged,43,Male,Sandals,Footwear,5670,Lahore,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
137,Middl- Aged,39,Male,Blouse,Clothing,6020,Karachi,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,Senior,68,Male,Sneakers,Footwear,3010,Lahore,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,Senior,68,Male,Skirt,Clothing,2030,Rawalpindi,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,Middl- Aged,49,Male,Coat,Outerwear,6650,Gujranwala,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
141,Senior,63,Male,Shirt,Clothing,1960,Peshawar,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,Middl- Aged,56,Male,Gloves,Accessories,3220,Rawalpindi,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,Middl- Aged,37,Male,Jacket,Outerwear,4060,Karachi,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,Adult,30,Male,Coat,Outerwear,3360,Mirpur,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,Young Adult,19,Male,Shoes,Footwear,3010,Gilgit,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,Young Adult,24,Male,Jewelry,Accessories,6650,Mirpur,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,Middl- Aged,52,Male,Skirt,Clothing,2100,Lahore,S,Black,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
148,Senior,63,Male,Shoes,Footwear,4480,Lahore,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,Middl- Aged,37,Male,Gloves,Accessories,6300,Islamabad,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,Middl- Aged,38,Male,Pants,Clothing,5320,Multan,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,Middl- Aged,35,Male,Boots,Footwear,6720,Lahore,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,Adult,28,Male,Sunglasses,Accessories,3290,Karachi,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
153,Adult,30,Male,Shirt,Clothing,5950,Karachi,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
154,Senior,69,Male,Hoodie,Clothing,3850,Peshawar,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,Middl- Aged,41,Male,Dress,Clothing,6860,Sialkot,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
156,Senior,63,Male,Socks,Clothing,5390,AJK,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,Middl- Aged,35,Male,Shorts,Clothing,1820,Mirpur,M,Lavender,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
158,Middl- Aged,36,Male,Hat,Accessories,4760,Lahore,S,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
159,Adult,25,Male,Shirt,Clothing,5110,Lahore,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
160,Middl- Aged,58,Male,Gloves,Accessories,1890,Peshawar,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
161,Adult,27,Male,Gloves,Accessories,1610,Murree,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
162,Senior,65,Male,Backpack,Accessories,3430,Karachi,M,Olive,Fall,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
163,Middl- Aged,54,Male,Sunglasses,Accessories,5180,Lahore,M,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
164,Middl- Aged,54,Male,Skirt,Clothing,4690,Rawalpindi,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
165,Senior,59,Male,Handbag,Accessories,4550,Multan,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,Middl- Aged,42,Male,Handbag,Accessories,4200,Faisalabad,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
167,Middl- Aged,46,Male,Sneakers,Footwear,2170,Multan,XL,Indigo,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
168,Adult,33,Male,Gloves,Accessories,1890,Hyderabad,M,Green,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,Adult,34,Male,Shoes,Footwear,5600,Faisalabad,M,Magenta,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
170,Adult,27,Male,Jacket,Outerwear,2100,Quetta,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
171,Middl- Aged,52,Male,Shirt,Clothing,1750,Islamabad,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
172,Adult,29,Male,Shorts,Clothing,2450,Rawalpindi,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,Middl- Aged,54,Male,Jewelry,Accessories,4690,Karachi,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,Adult,25,Male,Hat,Accessories,3220,Gujrat,M,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
175,Middl- Aged,41,Male,Shoes,Footwear,2450,Lahore,L,Brown,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
176,Middl- Aged,53,Male,Coat,Outerwear,6020,Sialkot,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
